Account,Sales_Agent,Deal_Stage,Product,Created_On
Rantouch,Reed Clapper,Won,GTXPro,6/1/2017
Hooli,Donn Cantrell,Won,GTXBasic,3/27/2017
,Vicki Laflamme,Lost,MGRPFU,11/1/2017
,Niesha Huffines,In_Progress,MGRPFS,12/17/2017
,Jonathan Berthelot,In_Progress,GTXBasic,11/25/2016
Cancity,Rosalina Dieter,Won,MGRPFS,5/25/2017
,Violet Mclelland,Lost,GTXBasic,2/15/2017
Ontomedia,Wilburn Farren,Won,GTXPlusBasic,9/29/2017
Zotware,Kary Hendrixson,Won,GTXPlusBasic,4/17/2017
Zencorporation,Darcel Schlecht,Won,MGRPFU,8/17/2017
Labdrill,Marty Freudenburg,Lost,GTXBasic,1/8/2017
Labdrill,Darcel Schlecht,Won,GTXPro,1/22/2017
Vehement Capital Partners,Anna Snelling,In_Progress,MGRPFU,3/18/2017
Zumgoity,Reed Clapper,Won,GTXPro,4/20/2017
,Moses Frase,In_Progress,GTXPlusPro,3/1/2017
Hottechi,Marty Freudenburg,In_Progress,GTXPlusBasic,6/22/2017
,Violet Mclelland,In_Progress,GTXPlusPro,12/28/2017
Xx-holding,Vicki Laflamme,Lost,MGRPFS,3/22/2017
Donware,Elease Gluck,Won,MGRPFU,9/29/2017
Yearin,Daniell Hammack,Won,GTXPro,10/18/2017
,Jonathan Berthelot,In_Progress,MGRPFS,6/5/2017
Hottechi,Markita Hansen,Won,MGRPFS,12/14/2017
,James Ascencio,Lost,GTXBasic,8/9/2017
Ollivander's Wand Shop,Jonathan Berthelot,Won,GTXPlusBasic,8/8/2017
,Marty Freudenburg,Lost,MGRPFS,5/18/2017
Cheers,Elease Gluck,Won,MGRPFU,10/23/2017
Golddex,Moses Frase,Won,GTXPlusBasic,7/31/2017
Ganjaflex,Niesha Huffines,In_Progress,MGRPFS,12/28/2017
Green-Plus,Darcel Schlecht,Won,GTXBasic,10/19/2017
Massive Dynamic,Versie Hillebrand,In_Progress,GTXPlusPro,12/28/2017
Mathtouch,James Ascencio,Won,GTXPlusPro,2/19/2017
,Lajuana Vencill,In_Progress,GTXPlusBasic,8/31/2017
,Donn Cantrell,In_Progress,GTXBasic,10/4/2017
,Corliss Cosme,In_Progress,GTXBasic,5/21/2017
Inity,Darcel Schlecht,Lost,GTXPlusBasic,10/23/2017
,Donn Cantrell,In_Progress,MGRPFS,7/12/2017
,James Ascencio,Lost,GTXPro,7/22/2017
,Donn Cantrell,Lost,GTXBasic,6/21/2017
Olivia Pope & Associates,Niesha Huffines,Won,GTXBasic,10/27/2017
,Corliss Cosme,Lost,GTXPro,3/29/2017
,Rosalina Dieter,In_Progress,MGRPFS,4/13/2017
,Reed Clapper,In_Progress,GTXPlusPro,7/28/2017
Silis,Vicki Laflamme,Won,MGRPFU,5/18/2017
Dontechi,Niesha Huffines,Won,GTXBasic,6/22/2017
,Cassey Cress,In_Progress,GTXPro,4/5/2017
Sonron,Rosalina Dieter,Won,GTXBasic,6/20/2017
Umbrella Corporation,Kami Bicknell,Won,MGRPFS,8/16/2017
Lexiqvolax,Anna Snelling,Won,GTXPro,1/25/2017
Scotfind,Lajuana Vencill,Lost,GTXBasic,10/23/2017
,Moses Frase,In_Progress,GTXBasic,3/10/2017
,Markita Hansen,Lost,MGRPFU,10/17/2017
,Anna Snelling,In_Progress,MGRPFU,12/6/2017
Betasoloin,Cassey Cress,Won,GTXPro,4/9/2017
Genco Pura Olive Oil Company,Corliss Cosme,Lost,GTXPlusBasic,6/15/2017
,Lajuana Vencill,Lost,GTXBasic,7/2/2017
Stanredtax,Cassey Cress,Won,GTXPlusBasic,6/17/2017
Gogozoom,Kary Hendrixson,Won,GTXPlusPro,7/26/2017
Plusstrip,Kary Hendrixson,Won,GTXPro,4/9/2017
,Violet Mclelland,In_Progress,GTXBasic,9/17/2017
,Vicki Laflamme,Lost,MGRPFU,6/30/2017
,James Ascencio,Lost,MGRPFS,3/24/2017
Olivia Pope & Associates,Darcel Schlecht,Won,GTXPlusPro,9/17/2017
Newex,Elease Gluck,Won,MGRPFS,12/7/2017
Donware,Anna Snelling,In_Progress,MGRPFS,4/30/2017
,Darcel Schlecht,Lost,GTXPro,11/17/2017
,Corliss Cosme,In_Progress,GTXBasic,6/25/2017
,Moses Frase,In_Progress,GTXBasic,10/21/2017
,James Ascencio,Lost,GTXPlusBasic,7/21/2017
,Boris Faz,In_Progress,GTXPlusPro,6/1/2017
Hooli,Cassey Cress,Won,GTXPlusBasic,5/14/2017
dambase,Rosalina Dieter,Won,GTXPlusPro,1/17/2017
Mathtouch,Maureen Marcano,Won,GTXPlusBasic,8/27/2017
Genco Pura Olive Oil Company,Cassey Cress,Won,MGRPFU,8/8/2017
,Elease Gluck,In_Progress,MGRPFS,10/29/2017
Treequote,Vicki Laflamme,Won,MGRPFU,3/12/2017
,Markita Hansen,In_Progress,GTXPlusBasic,11/22/2017
Globex Corporation,Cassey Cress,Won,GTXBasic,8/7/2017
Cheers,Kami Bicknell,Won,GTXBasic,5/13/2017
,Markita Hansen,In_Progress,GTXPlusBasic,11/12/2017
,Reed Clapper,In_Progress,GTXBasic,12/3/2017
Funholding,Garret Kinder,Lost,GTXPro,2/6/2017
Ollivander's Wand Shop,Moses Frase,Won,GTXPlusBasic,5/14/2017
dambase,Zane Levy,Won,GTXPlusPro,9/22/2017
Cancity,Vicki Laflamme,Won,MGRPFS,9/23/2017
Wayne Enterprises,Kary Hendrixson,Won,GTXPlusBasic,6/25/2017
,Lajuana Vencill,In_Progress,MGRPFU,10/23/2017
,Kami Bicknell,In_Progress,GTXBasic,7/21/2017
Stark Industries,Markita Hansen,Won,MGRPFS,10/26/2017
Krusty Krab,Hayden Neloms,Won,MGRPFU,7/17/2017
Doncon,Kami Bicknell,Won,GTXBasic,11/26/2017
,Corliss Cosme,In_Progress,GTXPlusBasic,4/29/2017
Initech,Anna Snelling,Won,GTXBasic,8/15/2017
J-Texon,Cassey Cress,Won,GTXPlusBasic,6/14/2017
Bluth Company,Hayden Neloms,Won,MGRPFS,8/29/2017
Faxquote,Jonathan Berthelot,Won,GTXPlusBasic,9/23/2017
Wayne Enterprises,Vicki Laflamme,Won,GTXBasic,3/14/2017
Wonka Industries,Lajuana Vencill,In_Progress,GTXBasic,12/23/2017
Bluth Company,Hayden Neloms,Lost,MGRPFU,8/2/2017
,Hayden Neloms,In_Progress,GTXPlusBasic,12/7/2017
,Kary Hendrixson,In_Progress,GTXPlusPro,8/15/2017
Scotfind,Niesha Huffines,Won,GTXPlusBasic,9/25/2017
,Kami Bicknell,Lost,GTXPlusBasic,1/30/2017
,Darcel Schlecht,In_Progress,GTXPlusBasic,12/2/2017
Cheers,Vicki Laflamme,Won,MGRPFU,10/4/2017
Zoomit,Lajuana Vencill,Lost,MGRPFS,6/24/2017
,Lajuana Vencill,In_Progress,GTXPlusBasic,9/18/2017
,Wilburn Farren,In_Progress,GTXPlusBasic,12/23/2017
,Jonathan Berthelot,In_Progress,GTXBasic,12/21/2017
Labdrill,Jonathan Berthelot,Won,GTXBasic,10/11/2017
,Boris Faz,In_Progress,GTXPlusPro,6/2/2017
,Darcel Schlecht,In_Progress,GTXPlusPro,8/19/2017
Opentech,Rosie Papadopoulos,Won,GTXPlusBasic,8/5/2017
,Markita Hansen,In_Progress,GTXBasic,8/16/2017
,Vicki Laflamme,In_Progress,GTXPro,12/11/2017
,Boris Faz,Lost,GTXPlusPro,7/25/2017
,Maureen Marcano,In_Progress,GTXBasic,5/24/2017
,Cassey Cress,Lost,GTXBasic,12/25/2017
Scotfind,Anna Snelling,Lost,MGRPFU,8/5/2017
Streethex,Lajuana Vencill,Lost,MGRPFU,5/22/2017
Ollivander's Wand Shop,Cecily Lampkin,Won,GTXBasic,8/2/2017
Condax,Elease Gluck,Won,MGRPFS,8/7/2017
,Vicki Laflamme,In_Progress,MGRPFS,11/3/2017
,Daniell Hammack,In_Progress,MGRPFS,12/17/2017
,Darcel Schlecht,In_Progress,GTXBasic,2/18/2017
Soylent Corp,Gladys Colclough,Won,MGRPFS,3/29/2017
Globex Corporation,Corliss Cosme,Lost,GTXPlusBasic,10/6/2017
,Donn Cantrell,In_Progress,GTXPlusPro,12/16/2017
,Niesha Huffines,In_Progress,GTXPlusBasic,12/6/2017
Green-Plus,Anna Snelling,Won,GTXPlusPro,6/19/2017
,Wilburn Farren,Lost,GTXBasic,8/4/2017
,Violet Mclelland,In_Progress,MGRPFS,12/7/2017
Donquadtech,Vicki Laflamme,Won,MGRPFU,3/14/2017
Wayne Enterprises,Kary Hendrixson,Won,GTXPlusBasic,5/2/2017
Silis,Kary Hendrixson,Won,GTXBasic,7/31/2017
,Gladys Colclough,Lost,MGRPFS,10/6/2017
Gekko & Co,Donn Cantrell,Won,MGRPFU,11/19/2017
,Darcel Schlecht,In_Progress,GTXPro,4/2/2017
Stanredtax,Reed Clapper,Won,GTXPlusBasic,5/13/2017
Opentech,Cassey Cress,Won,GTXPlusPro,10/1/2017
Kinnamplus,Moses Frase,Won,GTXBasic,6/19/2017
Kinnamplus,Moses Frase,Won,GTXPlusBasic,6/18/2017
,Moses Frase,In_Progress,MGRPFU,6/16/2017
Dontechi,Anna Snelling,Won,GTXPlusBasic,11/30/2017
Xx-zobam,Daniell Hammack,In_Progress,GTXBasic,12/4/2017
Newex,Markita Hansen,Won,MGRPFS,5/22/2017
,Darcel Schlecht,In_Progress,MGRPFS,11/2/2017
Genco Pura Olive Oil Company,Reed Clapper,Won,GTXPlusBasic,3/20/2017
,Darcel Schlecht,In_Progress,GTXPro,12/15/2017
Silis,Jonathan Berthelot,Won,GTXBasic,4/5/2017
Labdrill,Darcel Schlecht,Won,GTXBasic,7/24/2017
Konmatfix,Corliss Cosme,Lost,GTXPlusPro,2/11/2017
Conecom,Rosie Papadopoulos,Won,GTXBasic,5/2/2017
Zathunicon,Maureen Marcano,Won,GTXPlusPro,3/2/2017
,Zane Levy,Lost,GTXPlusBasic,10/20/2017
,Moses Frase,In_Progress,GTXPlusBasic,12/29/2016
Scotfind,Lajuana Vencill,Won,GTXPro,12/18/2017
,Vicki Laflamme,In_Progress,MGRPFU,12/30/2017
Konmatfix,Daniell Hammack,Won,GTXBasic,5/11/2017
Golddex,Versie Hillebrand,Won,GTXBasic,4/5/2017
Genco Pura Olive Oil Company,Reed Clapper,Won,GTXBasic,8/26/2017
Zathunicon,Kami Bicknell,Won,GTXPlusBasic,5/27/2017
Sumace,Versie Hillebrand,Won,MGRPFU,9/28/2017
,James Ascencio,Lost,MGRPFS,5/27/2017
,Anna Snelling,In_Progress,GTXBasic,5/3/2017
Mathtouch,Markita Hansen,Won,GTXPlusPro,1/21/2017
Kinnamplus,Darcel Schlecht,Won,GTXBasic,6/23/2017
Finhigh,Jonathan Berthelot,Lost,MGRPFS,7/28/2017
Duff Beer,Gladys Colclough,Lost,GTXPro,10/21/2017
Umbrella Corporation,Zane Levy,Won,GTXPro,9/25/2017
,Darcel Schlecht,Lost,MGRPFS,9/11/2017
,Vicki Laflamme,Lost,GTXBasic,9/4/2017
,James Ascencio,In_Progress,GTXPlusPro,12/3/2017
Kan-code,Darcel Schlecht,Won,GTXPro,6/24/2017
Domzoom,Cecily Lampkin,Lost,GTXPlusBasic,7/30/2017
Silis,Zane Levy,Won,GTXPro,9/5/2017
,Anna Snelling,In_Progress,MGRPFS,9/9/2017
Inity,Gladys Colclough,Lost,GTXPlusPro,9/12/2017
Isdom,Rosalina Dieter,Won,MGRPFU,5/27/2017
Funholding,Reed Clapper,Won,GTXBasic,6/4/2017
,Boris Faz,In_Progress,GTXPro,3/18/2017
Sunnamplex,Boris Faz,Won,GTXPlusBasic,5/16/2017
Doncon,Maureen Marcano,Lost,GTXPlusBasic,4/4/2017
Umbrella Corporation,Hayden Neloms,Won,GTXPlusBasic,8/1/2017
,Moses Frase,Lost,GTXBasic,7/26/2017
,Darcel Schlecht,Lost,GTXPro,3/15/2017
Silis,Niesha Huffines,Won,GTXBasic,5/26/2017
Betasoloin,Vicki Laflamme,In_Progress,MGRPFS,4/8/2017
,Maureen Marcano,In_Progress,GTXPlusBasic,8/30/2017
,Darcel Schlecht,In_Progress,GTXBasic,9/18/2017
,Violet Mclelland,In_Progress,GTXPlusBasic,12/25/2017
Olivia Pope & Associates,Moses Frase,Won,GTXPlusPro,8/24/2017
Doncon,Elease Gluck,Lost,GTXPlusBasic,9/9/2017
,Zane Levy,Lost,GTXBasic,5/9/2017
Plusstrip,James Ascencio,Won,GTXPlusPro,3/12/2017
Rangreen,Vicki Laflamme,In_Progress,MGRPFU,10/27/2017
Plexzap,Boris Faz,Won,GTXPro,8/24/2017
Acme Corporation,Daniell Hammack,Lost,GTXPro,5/26/2017
,Donn Cantrell,Lost,GTXPlusBasic,4/6/2017
Inity,Moses Frase,Won,MGRPFU,9/27/2017
Finjob,Darcel Schlecht,Won,GTXPro,2/2/2017
Dalttechnology,Hayden Neloms,Lost,GTXPlusPro,8/26/2017
,Versie Hillebrand,Lost,GTXPlusPro,3/2/2017
Domzoom,Moses Frase,Won,MGRPFU,7/27/2017
Kinnamplus,Darcel Schlecht,Won,GTXBasic,1/25/2017
Plusstrip,Maureen Marcano,In_Progress,GTXBasic,8/8/2017
Mathtouch,Maureen Marcano,Won,GTXPlusPro,6/28/2017
,Markita Hansen,In_Progress,MGRPFU,12/3/2017
Ganjaflex,Darcel Schlecht,Won,GTXPro,3/4/2017
,Moses Frase,Lost,GTXPlusBasic,10/21/2017
,Lajuana Vencill,In_Progress,GTXPlusPro,12/6/2017
Singletechno,Niesha Huffines,Won,GTXBasic,5/30/2017
,Donn Cantrell,Lost,GTXPro,8/29/2017
Bluth Company,Elease Gluck,Lost,GTXBasic,4/9/2017
Inity,Darcel Schlecht,Won,GTXPlusBasic,5/24/2017
,Violet Mclelland,Lost,MGRPFS,1/27/2017
Genco Pura Olive Oil Company,Violet Mclelland,Won,MGRPFS,6/23/2017
Cyberdyne Systems,Darcel Schlecht,Won,GTXPlusPro,8/17/2017
,Anna Snelling,Lost,MGRPFU,8/7/2017
Golddex,Darcel Schlecht,Won,GTXPro,6/5/2017
,Elease Gluck,In_Progress,MGRPFS,9/11/2017
,Daniell Hammack,Lost,GTXPro,9/18/2017
,Donn Cantrell,Lost,GTXPro,7/11/2017
Zumgoity,Corliss Cosme,Won,GTXBasic,7/27/2017
,Darcel Schlecht,In_Progress,GTXPro,6/30/2017
,Cecily Lampkin,In_Progress,GTXBasic,6/4/2017
Stanredtax,Donn Cantrell,Won,GTXPlusBasic,7/17/2017
,James Ascencio,Lost,GTXPro,7/25/2017
Yearin,Cassey Cress,Won,MGRPFU,7/10/2017
Newex,Violet Mclelland,Won,GTXBasic,7/24/2017
Silis,Darcel Schlecht,In_Progress,GTXPlusPro,8/26/2017
Blackzim,Corliss Cosme,Won,MGRPFS,8/11/2017
Silis,Darcel Schlecht,Won,GTXPro,10/7/2017
Bioplex,Darcel Schlecht,Won,GTXPlusBasic,7/15/2017
,Marty Freudenburg,Lost,GTXPlusBasic,8/1/2017
,Jonathan Berthelot,Lost,GTXBasic,4/14/2017
Bluth Company,Zane Levy,Won,GTXPro,8/10/2017
Finhigh,Darcel Schlecht,Won,GTXPlusBasic,4/10/2017
,Elease Gluck,In_Progress,GTK500U,10/14/2017
,Lajuana Vencill,In_Progress,GTXPlusBasic,12/18/2017
Goodsilron,Cecily Lampkin,Lost,GTXPlusBasic,7/23/2017
,James Ascencio,In_Progress,GTXPlusBasic,11/1/2017
Bubba Gump,Cassey Cress,Won,MGRPFS,7/9/2017
,Kami Bicknell,In_Progress,GTXPlusBasic,3/27/2017
Mathtouch,Zane Levy,Lost,MGRPFU,3/7/2017
Bioplex,Anna Snelling,Lost,MGRPFS,7/24/2017
Y-corporation,Boris Faz,Won,GTXPro,8/6/2017
,Kami Bicknell,In_Progress,GTXPlusBasic,10/29/2017
,Jonathan Berthelot,In_Progress,MGRPFS,12/30/2017
Vehement Capital Partners,Hayden Neloms,Won,GTXPlusBasic,3/5/2017
Warephase,Violet Mclelland,Won,MGRPFS,11/4/2017
Xx-holding,Vicki Laflamme,Won,GTXBasic,3/4/2017
Kan-code,Jonathan Berthelot,Won,GTXBasic,3/17/2017
,Vicki Laflamme,Lost,GTXBasic,3/16/2017
,Violet Mclelland,In_Progress,GTXBasic,12/30/2017
Streethex,Jonathan Berthelot,Lost,MGRPFS,9/24/2017
,Donn Cantrell,Lost,GTXBasic,7/5/2017
,Reed Clapper,In_Progress,MGRPFS,6/30/2017
Globex Corporation,Rosie Papadopoulos,Won,GTXBasic,9/4/2017
dambase,James Ascencio,Won,MGRPFU,5/18/2017
Massive Dynamic,Cassey Cress,Won,GTXBasic,4/5/2017
Kinnamplus,Moses Frase,Won,GTXBasic,9/19/2017
,Boris Faz,In_Progress,GTXPlusPro,2/20/2017
,Maureen Marcano,In_Progress,MGRPFU,4/14/2017
,Donn Cantrell,In_Progress,GTXBasic,11/20/2017
Silis,Darcel Schlecht,In_Progress,GTXPlusBasic,3/18/2017
Cyberdyne Systems,Darcel Schlecht,Won,GTXPro,12/19/2017
,Vicki Laflamme,Lost,GTXPlusPro,2/13/2017
J-Texon,Violet Mclelland,Won,GTXPlusBasic,6/13/2017
Newex,Markita Hansen,Won,MGRPFS,3/9/2017
,Kary Hendrixson,In_Progress,GTXPlusPro,12/14/2017
,Maureen Marcano,In_Progress,MGRPFS,4/23/2017
,Marty Freudenburg,In_Progress,MGRPFS,8/18/2017
,Darcel Schlecht,In_Progress,MGRPFU,7/24/2017
Dalttechnology,Corliss Cosme,Lost,GTXPro,9/7/2017
Faxquote,Cecily Lampkin,Won,GTXBasic,3/25/2017
Soylent Corp,Jonathan Berthelot,Won,MGRPFS,3/10/2017
Yearin,Zane Levy,In_Progress,GTXPlusBasic,7/21/2017
Sterling Cooper,Vicki Laflamme,Won,MGRPFS,3/28/2017
,Anna Snelling,In_Progress,GTXBasic,12/21/2017
,Kami Bicknell,In_Progress,MGRPFU,11/26/2017
Sumace,Anna Snelling,Won,MGRPFU,4/22/2017
Golddex,Marty Freudenburg,Won,GTXBasic,7/25/2017
,Cassey Cress,Lost,GTXBasic,6/9/2017
Scottech,Daniell Hammack,Lost,GTXPlusPro,7/5/2017
Domzoom,Darcel Schlecht,Lost,GTXBasic,3/25/2017
,Violet Mclelland,In_Progress,GTXPro,3/22/2017
,Darcel Schlecht,In_Progress,GTXPro,4/11/2017
Wonka Industries,Gladys Colclough,In_Progress,GTXPlusBasic,4/4/2017
,Violet Mclelland,Lost,GTXBasic,7/29/2017
Finjob,Marty Freudenburg,Won,GTXPlusBasic,8/15/2017
Wonka Industries,Zane Levy,Won,MGRPFU,1/20/2017
Plexzap,Boris Faz,Won,GTXPlusPro,10/3/2017
,Daniell Hammack,Lost,GTXPlusPro,10/24/2017
,Jonathan Berthelot,In_Progress,GTXPro,6/12/2017
,Niesha Huffines,In_Progress,GTXPro,9/12/2017
,Markita Hansen,In_Progress,MGRPFS,6/10/2017
Doncon,Markita Hansen,Won,GTXBasic,5/24/2017
,Anna Snelling,Lost,GTXPlusBasic,7/31/2017
Dalttechnology,Reed Clapper,Won,MGRPFU,5/2/2017
,Donn Cantrell,Lost,GTXPro,7/16/2017
Labdrill,Niesha Huffines,Lost,GTXPlusBasic,3/11/2017
Scottech,Violet Mclelland,Won,GTXPlusBasic,5/18/2017
Genco Pura Olive Oil Company,Corliss Cosme,Won,GTXPlusBasic,6/10/2017
Finhigh,Darcel Schlecht,Lost,GTXPro,4/8/2017
,Cecily Lampkin,In_Progress,MGRPFU,6/10/2017
,Elease Gluck,In_Progress,MGRPFS,4/13/2017
Green-Plus,Versie Hillebrand,Won,MGRPFU,6/21/2017
,Boris Faz,In_Progress,GTXPlusBasic,12/4/2017
Initech,James Ascencio,In_Progress,MGRPFU,8/20/2017
dambase,Kami Bicknell,Lost,GTXPlusBasic,1/3/2017
Bluth Company,Vicki Laflamme,Won,GTXPlusBasic,11/19/2017
Condax,Kary Hendrixson,Won,GTXPlusBasic,8/17/2017
Newex,James Ascencio,Won,GTXPlusPro,6/28/2017
Toughzap,Kami Bicknell,Won,GTXBasic,9/18/2017
,Zane Levy,In_Progress,GTXPlusPro,7/29/2017
Streethex,Jonathan Berthelot,Lost,GTXPlusBasic,6/21/2017
Krusty Krab,Rosalina Dieter,Won,MGRPFS,2/28/2017
,Vicki Laflamme,Lost,GTXBasic,8/14/2017
Acme Corporation,Versie Hillebrand,In_Progress,MGRPFS,8/9/2017
Mathtouch,Kary Hendrixson,Won,GTXPlusBasic,10/14/2017
Scotfind,Jonathan Berthelot,Lost,GTXPlusBasic,10/17/2017
Bluth Company,Jonathan Berthelot,In_Progress,GTXBasic,11/29/2017
,Marty Freudenburg,Lost,GTXPlusBasic,4/12/2017
,Jonathan Berthelot,In_Progress,MGRPFS,4/8/2017
Bubba Gump,Corliss Cosme,Won,GTXBasic,9/7/2017
Dontechi,Cecily Lampkin,Won,MGRPFU,8/28/2017
Blackzim,Rosie Papadopoulos,Won,GTXPlusPro,1/31/2017
Yearin,Donn Cantrell,Lost,GTXBasic,3/7/2017
,Zane Levy,In_Progress,MGRPFU,4/14/2017
,Moses Frase,Lost,GTXBasic,8/21/2017
Sunnamplex,Cassey Cress,Won,GTXBasic,7/26/2017
,Cecily Lampkin,In_Progress,GTXPlusPro,7/24/2017
Sumace,Jonathan Berthelot,Lost,GTXBasic,10/19/2017
,Elease Gluck,In_Progress,GTXPlusPro,4/29/2017
Singletechno,Darcel Schlecht,Won,MGRPFS,6/22/2017
Faxquote,Lajuana Vencill,Won,MGRPFU,7/10/2017
,James Ascencio,Lost,GTXPlusBasic,6/9/2017
,Anna Snelling,In_Progress,MGRPFU,3/19/2017
Wonka Industries,Vicki Laflamme,Won,MGRPFU,4/22/2017
Streethex,Jonathan Berthelot,Lost,GTXBasic,1/17/2017
Xx-holding,Kary Hendrixson,Won,GTXPlusPro,3/5/2017
,Cassey Cress,Lost,GTXPlusPro,6/30/2017
,Darcel Schlecht,Lost,GTXPro,4/16/2017
Rundofase,Hayden Neloms,Won,MGRPFS,6/18/2017
Green-Plus,Jonathan Berthelot,Lost,GTXPlusPro,6/15/2017
Stanredtax,Kary Hendrixson,Lost,GTXPlusBasic,8/30/2017
Betasoloin,Cassey Cress,Lost,GTXBasic,4/14/2017
Zoomit,Anna Snelling,In_Progress,GTXPro,1/14/2017
Initech,Anna Snelling,Won,GTXPlusBasic,8/4/2017
Finhigh,Jonathan Berthelot,Won,GTXPlusBasic,7/7/2017
Green-Plus,Niesha Huffines,Won,GTXBasic,4/20/2017
Plussunin,Hayden Neloms,Won,MGRPFU,7/23/2017
Initech,Niesha Huffines,Won,GTXPro,8/12/2017
Plexzap,Donn Cantrell,Lost,GTXPro,5/23/2017
,Kami Bicknell,In_Progress,GTXBasic,8/31/2017
,Cassey Cress,In_Progress,GTXPlusBasic,7/31/2017
Xx-holding,Vicki Laflamme,Lost,MGRPFU,9/26/2017
Plexzap,Boris Faz,Won,GTXBasic,9/22/2017
,Moses Frase,Lost,MGRPFU,4/10/2017
,Jonathan Berthelot,In_Progress,GTXPlusBasic,7/30/2017
Kinnamplus,Niesha Huffines,Lost,GTXPlusBasic,5/13/2017
,Darcel Schlecht,In_Progress,GTXPro,11/22/2017
,James Ascencio,In_Progress,GTXPlusPro,12/25/2017
The New York Inquirer,Reed Clapper,Won,GTXPro,11/28/2017
Plexzap,Boris Faz,Won,GTXBasic,1/15/2017
,Daniell Hammack,In_Progress,GTXPro,1/27/2017
Konex,Rosie Papadopoulos,Won,MGRPFS,7/23/2017
Stark Industries,Zane Levy,Won,GTXBasic,8/10/2017
Streethex,Lajuana Vencill,Won,GTXBasic,7/31/2017
Scottech,Wilburn Farren,In_Progress,GTXBasic,7/25/2017
,Darcel Schlecht,In_Progress,GTXBasic,11/12/2017
Scotfind,Jonathan Berthelot,Won,GTXPlusPro,9/3/2017
Cancity,Zane Levy,Won,GTXPro,9/9/2017
,Markita Hansen,In_Progress,GTXPlusPro,3/27/2017
Groovestreet,Darcel Schlecht,Won,MGRPFS,2/11/2017
,Marty Freudenburg,Lost,GTXBasic,10/2/2017
Zumgoity,Daniell Hammack,Lost,GTXPro,8/11/2017
Silis,Darcel Schlecht,Won,GTXPro,4/4/2017
Ollivander's Wand Shop,Niesha Huffines,Won,GTXPlusBasic,5/22/2017
,Elease Gluck,In_Progress,GTXPlusPro,7/13/2017
Good Burger,Gladys Colclough,In_Progress,MGRPFS,6/4/2017
,Lajuana Vencill,Lost,GTXPlusBasic,12/14/2017
Umbrella Corporation,Kami Bicknell,Lost,GTXPlusBasic,5/15/2017
Stark Industries,Vicki Laflamme,Won,MGRPFS,1/18/2017
Plexzap,Reed Clapper,Won,GTXPro,2/26/2017
